Race and Hispanic origin and age,examined persons,Mean,error of the mean,5th,10th,15th,25th,50th,75th,85th,90th,95th
0 20,"5,510",161.3,0.19,149.8,152.5,153.9,156.4,161.3,166,168.4,170.2,172.5
20 29,892,162.6,0.32,151,153.8,155.3,158.1,162.8,167,169.5,170.8,172.8
30 39,922,162.7,0.37,151.2,154.1,155.5,157.9,162.6,167.7,170.1,171.3,173.4
40 49,909,162.3,0.36,150.7,152.9,154.6,157.7,162.6,166.6,169.4,171.4,174.2
50 59,915,161.3,0.36,150.7,152.9,154.2,156.5,160.9,165.9,168.8,170.1,171.4
60 69,980,160.7,0.38,149.3,152.7,153.8,155.9,160.8,165.3,167.6,168.9,171.7
70 79,532,158.2,0.36,147.5,150.6,152.3,153.9,157.9,162.6,164.8,165.9,168.1
80 100,360,155.6,0.44,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
