Race and Hispanic origin and age,examined persons,Mean,error of the mean,5th,10th,15th,25th,50th,75th,85th,90th,95th
0 20,"5,085",90.6,0.63,61.7,66.6,69.9,75.3,87.4,101.9,110.6,119.4,130.3
20 29,802,85.5,1.44,58.3,61.5,64,69.3,81.3,98.2,109.8,116,128.1
30 39,804,94.4,1.21,65,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
40 49,766,93.9,1.04,66.3,70.1,74.5,79.9,90.5,104,"113,7",119.6,133.3
50 59,842,91.9,1.12,63.2,68.5,71,76.7,89.6,102,110.4,123.9,130.6
60 69,965,91.2,0.81,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
70 79,571,87.7,1.09,60.5,67,69.6,75.7,85.3,98,105.8,108.7,119
80 100,335,80.5,0.9,56.2,62,64.6,69.2,79.6,90,97.2,99.2,107.9
